Molecule_Name,clean_smiles,Source
CHEMBL544127,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.05)
CHEMBL340519,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.70)
CHEMBL541089,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.19)
CHEMBL555153,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)cs1,ChEMBL Database (pIC50: 8.12)
CHEMBL539817,CC(C)CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.30)
CHEMBL544355,CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,ChEMBL Database (pIC50: 8.05)
CHEMBL553909,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.15)
CHEMBL545057,CCN(CC)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.05)
CHEMBL123923,Cc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.38)
CHEMBL544827,CC(C)CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl,ChEMBL Database (pIC50: 8.32)
CHEMBL540329,CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl,ChEMBL Database (pIC50: 8.35)
CHEMBL127817,NS(=O)(=O)c1cc(S(=O)(=O)c2cccc(O)c2)cs1,ChEMBL Database (pIC50: 8.68)
CHEMBL541341,CN1CCN(Cc2ccc(C(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1.Cl,ChEMBL Database (pIC50: 8.40)
CHEMBL333747,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1,ChEMBL Database (pIC50: 8.38)
CHEMBL341530,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)cs1,ChEMBL Database (pIC50: 8.30)
CHEMBL538536,CCN(CC)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.00)
CHEMBL555355,Cl.NS(=O)(=O)c1cc(C(=O)c2cccc(CN3CCOCC3)c2)cs1,ChEMBL Database (pIC50: 8.30)
CHEMBL545756,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CN3CCOCC3)cc2)cs1,ChEMBL Database (pIC50: 8.43)
CHEMBL540835,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CNCc3ccccc3)cc2)cs1,ChEMBL Database (pIC50: 8.62)
CHEMBL542219,CCN(CC)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.15)
CHEMBL541080,CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,ChEMBL Database (pIC50: 8.05)
CHEMBL123979,COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.60)
CHEMBL125102,NS(=O)(=O)c1cc(C(=O)c2ccc(O)cc2)cs1,ChEMBL Database (pIC50: 8.60)
CHEMBL341037,Cc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.70)
CHEMBL413114,COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.49)
CHEMBL333588,Cc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1,ChEMBL Database (pIC50: 8.49)
CHEMBL544129,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)cs1,ChEMBL Database (pIC50: 8.10)
CHEMBL544030,COCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.30)
CHEMBL554425,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.38)
CHEMBL543792,CC(C)CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,ChEMBL Database (pIC50: 8.55)
CHEMBL104754,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,ChEMBL Database (pIC50: 8.82)
CHEMBL69114,CN(C)Cc1cc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)ccc1O,ChEMBL Database (pIC50: 9.15)
CHEMBL540026,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1,ChEMBL Database (pIC50: 8.52)
CHEMBL553832,COCCOCCNC(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 9.15)
CHEMBL555385,CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.52)
ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,ChEMBL Database (pIC50: 8.47)
CHEMBL554042,Cl.NS(=O)(=O)c1cc2cc(CN(CCO)CCO)sc2s1,ChEMBL Database (pIC50: 8.64)
CHEMBL552892,CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,ChEMBL Database (pIC50: 8.49)
CHEMBL552890,Cl.NS(=O)(=O)c1cc2cc(CNCCO)sc2s1,ChEMBL Database (pIC50: 8.20)
CHEMBL543798,COCCOCCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.19)
CHEMBL104621,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)s1,ChEMBL Database (pIC50: 8.64)
CHEMBL543561,Cl.NS(=O)(=O)c1cc2cc(CNC(CO)CO)sc2s1,ChEMBL Database (pIC50: 8.08)
CHEMBL556132,COCCNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl,ChEMBL Database (pIC50: 8.55)
CHEMBL51975,NS(=O)(=O)c1cc2cc(C(=O)NCC(O)CO)sc2s1,ChEMBL Database (pIC50: 8.49)
CHEMBL121137,CC(C)(C)C(=O)Oc1ccc2sc(S(N)(=O)=O)cc2c1,ChEMBL Database (pIC50: 8.59)
CHEMBL538245,CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.60)
CHEMBL543319,COCCOCCN(CCOC)C(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 9.30)
CHEMBL105080,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,ChEMBL Database (pIC50: 8.25)
CHEMBL542372,COCCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,ChEMBL Database (pIC50: 8.31)
CHEMBL555543,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,ChEMBL Database (pIC50: 8.59)
