molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd,Protein_Weight,Protein_Aromaticity,Protein_Instability,Protein_Isoelectric,Protein_Helix_Frac,Protein_Turn_Frac,Protein_Sheet_Frac,Protein_Hydrophobicity
CHEMBL117716,CHEMBL204,CA I,IC50,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,1270.0,nM,624.7240000000002,-0.2484299999999936,7,8,219.7,4,0.1041905856859023,1543.835929336564,1,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL50117,CHEMBL204,CA I,IC50,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,890.0,nM,396.53500000000025,3.10447,3,3,99.28,3,0.4876517693247314,751.7329787298677,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL108952,CHEMBL204,CA I,IC50,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,19.0,nM,557.6080000000004,-0.6088999999999953,7,8,235.3,2,0.0485372852651275,1118.3206013968395,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL3142655,CHEMBL204,CA I,IC50,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,50.0,nM,487.60000000000014,3.4704000000000037,2,5,93.89,4,0.4821248095741282,1075.4205375285032,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL337921,CHEMBL204,CA I,IC50,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,10000.0,nM,474.9730000000002,5.585320000000004,2,5,79.78,5,0.348426639566606,1509.2407274873792,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL340500,CHEMBL204,CA I,IC50,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,10000.0,nM,480.9770000000003,4.797620000000003,2,5,87.32,5,0.4293374137718305,1319.339152235331,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL117721,CHEMBL204,CA I,IC50,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,nM,561.6250000000003,-2.3967299999999923,7,9,232.59,3,0.1134846621911514,1205.3141271363916,1,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL331807,CHEMBL204,CA I,IC50,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc(O)nc2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,nM,590.6630000000002,-1.696029999999993,8,9,239.92999999999995,3,0.1029449078331959,1265.3084515999387,1,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL323642,CHEMBL204,CA I,IC50,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,nM,574.6640000000002,-1.4016299999999933,7,8,219.7,3,0.1168359390569725,1221.4582181916717,1,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
CHEMBL433275,CHEMBL204,CA I,IC50,COC(=O)[C@H](NC(=O)[C@@H]1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,20400.0,nM,436.51200000000006,2.03367,4,5,134.37,3,0.2853461890138028,941.2926485777756,0,28869.8371,0.09578544061302682,25.782758620689652,6.591811180114747,0.27969348659003834,0.36015325670498083,0.32950191570881227,-0.5363984674329502
