iter	RMSE
0	1.444379885
1	1.416684767
2	1.392114262
3	1.369530632
4	1.347962296
5	1.329093391
6	1.310939481
7	1.29563218
8	1.279643675
9	1.26360434
10	1.250057807
11	1.237923702
12	1.225461224
13	1.21416785
14	1.203889482
15	1.195281554
16	1.185592993
17	1.17645988
18	1.169171611
19	1.161462039
20	1.154535121
21	1.147250707
22	1.140374478
23	1.133447087
24	1.127067651
25	1.122442268
26	1.117348162
27	1.11107236
28	1.105969588
29	1.102033627
30	1.096376204
31	1.09280503
32	1.088561243
33	1.083092316
34	1.078542752
35	1.07400415
36	1.070787696
37	1.067334314
38	1.063880974
39	1.059713955
40	1.056215299
41	1.051571457
42	1.048150262
43	1.044122086
44	1.040762479
45	1.038333961
46	1.035402474
47	1.031478885
48	1.028670374
49	1.02493214
50	1.020608727
51	1.018180752
52	1.015594815
53	1.013511357
54	1.011015445
55	1.009089583
56	1.00623039
57	1.00379366
58	1.002020117
59	1.000443322
60	0.9980274334
61	0.9957652646
62	0.9937408813
63	0.9915000593
64	0.9896387137
65	0.9877763512
66	0.9862319331
67	0.9837909575
68	0.9820393761
69	0.9807424564
70	0.9789390786
71	0.9771775998
72	0.9751241533
73	0.9732207993
74	0.9719293232
75	0.9701709841
76	0.968717854
77	0.9669387334
78	0.9649082868
79	0.9623103771
80	0.9610164111
81	0.9590492124
82	0.9573460258
83	0.9555587763
84	0.9543869286
85	0.9526967475
86	0.9513066587
87	0.9500315155
88	0.9489176055
89	0.9472025541
90	0.9461188487
91	0.9439449682
92	0.9425877922
93	0.941275415
94	0.9400872446
95	0.9384307626
96	0.9368389053
97	0.9357233553
98	0.9347351424
99	0.9331495128
100	0.9321537112
101	0.9310193099
102	0.9295879944
103	0.9286516263
104	0.9272908073
105	0.9260354597
106	0.9244087206
107	0.9236878467
108	0.9224643484
109	0.9212889851
110	0.9203705441
111	0.9194370159
112	0.9182037072
113	0.9166705178
114	0.9156447608
115	0.914640881
116	0.9135617779
117	0.9124599706
118	0.911576856
119	0.9096713675
120	0.9089110057
121	0.9077199604
122	0.9067275811
123	0.9057455577
124	0.9048621985
125	0.9041602463
126	0.9032961806
127	0.902373038
128	0.9014179245
129	0.9001554854
130	0.8993291134
131	0.8980758199
132	0.8968974663
133	0.8959782503
134	0.8948894488
135	0.8923990563
136	0.8908247313
137	0.8891863347
138	0.8879051587
139	0.8869370348
140	0.8860750203
141	0.8846837032
142	0.8839943974
143	0.883215285
144	0.8818406362
145	0.8811772103
146	0.8800027749
147	0.8789215991
148	0.8774978061
149	0.8767684979
150	0.8761190364
151	0.8752048014
152	0.8740820724
153	0.8730211666
154	0.8718725151
155	0.8708941814
156	0.8697096458
157	0.8690088552
158	0.8677420024
159	0.8670604662
160	0.8663059442
161	0.86503165
162	0.8641185705
163	0.8629980147
164	0.8620681785
165	0.8610667905
166	0.8599499451
167	0.8592081196
168	0.858317376
169	0.8572998214
170	0.8557092394
171	0.8550089838
172	0.854183646
173	0.8533535935
174	0.852095384
175	0.8513190161
176	0.85002101
177	0.849023618
178	0.8482603237
179	0.8469788645
180	0.8460409636
181	0.845258775
182	0.84435675
183	0.8432389994
184	0.8423084723
185	0.84133732
186	0.8405693174
187	0.839495562
188	0.8384168671
189	0.8374158304
190	0.8363530683
191	0.8353119553
192	0.8342432484
193	0.833153214
194	0.8324644782
195	0.8315224873
196	0.830343161
197	0.8290923991
198	0.8278184726
199	0.8269099729
200	0.8261524032
201	0.8251687297
202	0.8241675593
203	0.8229214719
204	0.8221665814
205	0.821196292
206	0.8202131462
207	0.8192699256
208	0.8184101573
209	0.8176714842
210	0.8168892509
211	0.8157459828
212	0.8149329595
213	0.8141526518
214	0.8130799164
215	0.8123269091
216	0.8114000149
217	0.81055993
218	0.8098343945
219	0.8089962515
220	0.8081469619
221	0.8072506014
222	0.8065145071
223	0.8054162205
224	0.8046425554
225	0.8038516649
226	0.8032174827
227	0.802575002
228	0.8015914502
229	0.8010079848
230	0.8000067265
231	0.7992052543
232	0.7982988765
233	0.7975438486
234	0.7964636153
235	0.7954887251
236	0.7947451035
237	0.7940989032
238	0.7931458122
239	0.7923817081
240	0.7917937711
241	0.7910431477
242	0.7902493329
243	0.7893519064
244	0.7887692589
245	0.7878032808
246	0.7870464498
247	0.7864707804
248	0.7855699361
249	0.7848933021
250	0.7841252079
251	0.7834696181
252	0.7825768209
253	0.7820233823
254	0.781185555
255	0.7801357234
256	0.7795309537
257	0.7788893658
258	0.778038639
259	0.7774128657
260	0.7769470798
261	0.7762068462
262	0.7752148796
263	0.7744741011
264	0.7736770421
265	0.7732156359
266	0.7723859849
267	0.7718072918
268	0.7711460411
269	0.7705654954
270	0.7699264869
271	0.7693388652
272	0.7685624555
273	0.767918125
274	0.7672209918
275	0.7663402502
276	0.7658452786
277	0.7653217503
278	0.7646044155
279	0.7639963083
280	0.7635330301
281	0.7628401425
282	0.7622335336
283	0.7615961933
284	0.7609720746
285	0.7605433511
286	0.7599739079
287	0.7593036283
288	0.7586764304
289	0.7580157883
290	0.7575060692
291	0.7567949859
292	0.756310334
293	0.7556062472
294	0.7549377536
295	0.7543109319
296	0.7539336964
297	0.7532029635
298	0.7528744934
299	0.7522629031
300	0.751566112
301	0.7509115368
302	0.7500052623
303	0.7492554044
304	0.7486425403
305	0.7483536027
306	0.7477250729
307	0.7470322123
308	0.7464281754
309	0.7459804994
310	0.7454345048
311	0.7449683571
312	0.7444281281
313	0.7439415714
314	0.7433535802
315	0.7429374953
316	0.7425090244
317	0.7420222835
