iter	Passed	Remaining
0	189	189600
1	210	104869
2	230	76496
3	244	60966
4	259	51560
5	273	45277
6	286	40682
7	300	37266
8	313	34552
9	325	32226
10	336	30222
11	346	28541
12	358	27227
13	370	26097
14	381	25079
15	392	24163
16	404	23377
17	414	22626
18	425	21979
19	436	21398
20	449	20948
21	461	20497
22	472	20086
23	486	19776
24	497	19391
25	508	19040
26	519	18709
27	531	18445
28	542	18154
29	553	17904
30	566	17705
31	577	17478
32	588	17256
33	599	17030
34	611	16858
35	622	16666
36	633	16499
37	646	16368
38	657	16212
39	668	16044
40	679	15892
41	691	15776
42	703	15652
43	716	15568
44	728	15457
45	740	15364
46	752	15260
47	764	15157
48	774	15036
49	788	14976
50	801	14921
51	813	14839
52	825	14748
53	836	14649
54	846	14542
55	856	14439
56	867	14354
57	878	14273
58	889	14181
59	899	14091
60	912	14044
61	923	13966
62	935	13908
63	947	13860
64	963	13853
65	976	13823
66	991	13808
67	1003	13757
68	1017	13729
69	1029	13683
70	1044	13672
71	1060	13672
72	1075	13651
73	1086	13599
74	1098	13553
75	1110	13497
76	1120	13431
77	1134	13413
78	1148	13385
79	1157	13313
80	1166	13232
81	1175	13163
82	1186	13107
83	1196	13048
84	1206	12988
85	1215	12922
86	1226	12871
87	1236	12818
88	1246	12756
89	1255	12698
90	1265	12644
91	1275	12589
92	1285	12540
93	1295	12482
94	1305	12432
95	1313	12366
96	1321	12303
97	1329	12237
98	1338	12182
99	1346	12118
100	1354	12060
101	1362	11998
102	1371	11945
103	1379	11884
104	1388	11832
105	1396	11775
106	1404	11724
107	1413	11675
108	1423	11634
109	1434	11603
110	1444	11566
111	1454	11533
112	1466	11512
113	1478	11488
114	1491	11478
115	1502	11447
116	1514	11429
117	1526	11406
118	1538	11389
119	1550	11372
120	1563	11359
121	1576	11347
122	1592	11353
123	1606	11351
124	1621	11348
125	1636	11354
126	1652	11359
127	1666	11354
128	1682	11361
129	1697	11361
130	1709	11343
131	1720	11314
132	1731	11289
133	1743	11266
134	1754	11244
135	1769	11239
136	1782	11231
137	1797	11227
138	1811	11219
139	1824	11207
140	1836	11186
141	1849	11175
142	1863	11166
143	1877	11161
144	1889	11139
145	1901	11120
146	1913	11105
147	1928	11099
148	1943	11100
149	1958	11096
150	1972	11088
151	1987	11090
152	2004	11094
153	2017	11080
154	2030	11067
155	2044	11058
156	2056	11043
157	2068	11025
158	2081	11009
159	2093	10993
160	2107	10981
161	2123	10986
162	2140	10993
163	2154	10985
164	2169	10979
165	2180	10957
166	2192	10936
167	2204	10917
168	2215	10896
169	2227	10873
170	2238	10851
171	2247	10821
172	2259	10801
173	2271	10782
174	2282	10762
175	2293	10736
176	2306	10724
177	2319	10711
178	2330	10690
179	2342	10669
180	2354	10654
181	2368	10643
182	2382	10634
183	2394	10619
184	2410	10619
185	2425	10614
186	2439	10605
187	2453	10595
188	2468	10594
189	2484	10593
190	2499	10585
191	2513	10577
192	2526	10562
193	2539	10551
194	2552	10537
195	2566	10528
196	2580	10517
197	2596	10518
198	2610	10507
199	2626	10504
200	2640	10497
201	2653	10482
202	2666	10469
203	2681	10464
204	2695	10454
205	2711	10452
206	2725	10439
207	2739	10430
208	2756	10432
209	2767	10411
210	2782	10403
211	2797	10397
212	2811	10388
213	2827	10383
214	2840	10372
215	2852	10354
216	2867	10346
217	2883	10341
218	2898	10335
219	2911	10323
220	2926	10315
221	2940	10303
222	2955	10299
223	2968	10284
224	2982	10272
225	2996	10263
226	3010	10253
227	3025	10243
228	3039	10234
229	3054	10227
230	3069	10218
231	3087	10219
232	3101	10210
233	3116	10201
234	3126	10177
235	3138	10159
236	3149	10140
237	3160	10118
238	3171	10098
239	3183	10081
240	3193	10058
241	3202	10032
242	3212	10006
243	3220	9977
244	3229	9951
245	3237	9923
246	3246	9895
247	3254	9868
248	3266	9850
249	3274	9824
250	3284	9800
251	3292	9772
252	3303	9753
253	3311	9726
254	3319	9699
255	3328	9673
256	3336	9646
257	3344	9619
258	3353	9593
259	3363	9573
260	3372	9548
261	3381	9525
262	3390	9501
263	3400	9478
264	3409	9456
265	3418	9431
266	3429	9414
267	3437	9389
268	3447	9369
269	3456	9344
270	3465	9322
271	3473	9296
272	3481	9271
273	3489	9246
274	3497	9221
275	3506	9198
276	3515	9175
277	3527	9161
278	3538	9143
279	3548	9124
280	3559	9107
281	3569	9088
282	3580	9071
283	3593	9058
284	3605	9045
285	3617	9029
286	3629	9016
287	3640	8999
288	3652	8985
289	3664	8970
290	3675	8954
291	3685	8936
292	3695	8917
293	3705	8899
294	3715	8878
295	3725	8860
296	3735	8841
297	3744	8821
298	3756	8806
299	3764	8784
300	3774	8765
301	3783	8744
302	3793	8726
303	3804	8709
304	3812	8687
305	3822	8670
306	3831	8648
307	3841	8630
308	3852	8614
309	3861	8594
310	3871	8577
311	3880	8556
312	3890	8538
313	3901	8522
314	3909	8502
315	3919	8484
316	3928	8463
317	3939	8449
318	3951	8435
319	3960	8416
320	3971	8401
321	3982	8386
322	3991	8366
323	4002	8349
324	4010	8329
325	4020	8311
326	4029	8292
327	4039	8275
328	4047	8255
329	4056	8235
330	4065	8217
331	4073	8197
332	4082	8176
333	4091	8157
334	4100	8139
335	4110	8124
336	4119	8105
337	4128	8086
338	4138	8068
339	4148	8053
340	4159	8038
341	4171	8025
342	4183	8013
343	4195	8000
344	4208	7989
345	4225	7987
346	4238	7975
347	4247	7958
348	4259	7945
349	4269	7929
350	4281	7916
351	4292	7902
352	4303	7888
353	4315	7874
354	4327	7862
355	4339	7849
356	4350	7836
357	4362	7824
358	4374	7811
359	4387	7799
360	4399	7787
361	4412	7777
362	4425	7766
363	4437	7753
364	4448	7739
365	4459	7725
366	4472	7714
367	4485	7703
368	4497	7691
369	4513	7685
370	4529	7679
371	4543	7670
372	4557	7661
373	4569	7648
374	4581	7636
375	4596	7628
376	4610	7618
377	4625	7611
378	4639	7601
379	4654	7593
380	4669	7586
381	4686	7582
382	4700	7572
383	4715	7564
384	4728	7553
385	4741	7541
386	4755	7531
387	4768	7522
388	4781	7510
389	4793	7497
390	4807	7487
391	4818	7473
392	4829	7459
393	4839	7443
394	4849	7427
395	4860	7413
396	4873	7402
397	4885	7389
398	4899	7379
399	4914	7371
400	4928	7361
401	4941	7350
402	4956	7342
403	4970	7332
404	4984	7323
405	4998	7313
406	5013	7304
407	5026	7293
408	5040	7283
409	5054	7273
410	5069	7264
411	5087	7261
412	5105	7256
413	5119	7246
414	5130	7231
415	5140	7216
416	5148	7198
417	5157	7181
418	5165	7162
419	5174	7145
420	5182	7127
421	5191	7110
422	5199	7093
423	5209	7076
424	5218	7060
425	5227	7042
426	5235	7025
427	5243	7007
428	5250	6989
429	5259	6972
430	5267	6954
431	5276	6937
432	5284	6919
433	5293	6902
434	5301	6886
435	5311	6870
436	5320	6855
437	5330	6839
438	5340	6824
439	5351	6810
440	5361	6796
441	5373	6783
442	5384	6769
443	5394	6755
444	5406	6743
445	5418	6730
446	5427	6714
447	5437	6699
448	5446	6683
449	5457	6670
450	5468	6657
451	5478	6642
452	5490	6629
453	5501	6616
454	5512	6602
455	5523	6589
456	5534	6576
457	5546	6563
458	5557	6550
459	5567	6536
460	5576	6520
461	5586	6505
462	5599	6494
463	5611	6481
464	5622	6468
465	5634	6456
466	5647	6446
467	5660	6434
468	5674	6424
469	5689	6415
470	5702	6404
471	5714	6392
472	5728	6382
473	5739	6369
474	5752	6358
475	5766	6348
476	5777	6334
477	5788	6321
478	5801	6310
479	5813	6298
480	5826	6286
481	5837	6273
482	5849	6260
483	5861	6248
484	5873	6237
485	5885	6225
486	5900	6215
487	5913	6204
488	5925	6192
489	5939	6182
490	5953	6171
491	5966	6160
492	5978	6148
493	5991	6136
494	6002	6124
495	6013	6110
496	6023	6096
497	6033	6081
498	6043	6067
499	6051	6051
500	6060	6036
501	6072	6023
502	6085	6013
503	6096	5999
504	6107	5986
505	6119	5974
506	6129	5960
507	6141	5948
508	6153	5936
509	6166	5924
510	6176	5910
511	6187	5897
512	6202	5888
513	6213	5875
514	6225	5863
515	6237	5850
516	6248	5837
517	6258	5823
518	6267	5808
519	6275	5792
520	6283	5777
521	6292	5761
522	6302	5747
523	6313	5735
524	6327	5725
525	6340	5713
526	6350	5700
527	6361	5686
528	6372	5674
529	6384	5661
530	6396	5649
531	6406	5635
532	6415	5621
533	6424	5606
