clean_smiles,target_name,pIC50,Protein_Hydrophobicity,Protein_Weight,Protein_Isoelectric,Protein_Aromaticity
CC(=N)N1CCC(Oc2ccc3c(c2)OCC(=O)N3Cc2cc(-c3cccc(C(=N)N)c3)no2)CC1,CA I,5.0,-0.5363984674329502,28869.8371,6.591811180114747,0.0957854406130268
Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,CA III,9.67778070526608,-0.6030769230769231,29557.0647,6.861625862121582,0.1076923076923077
COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(C(N)=O)cc34)ccc12,CA IX,5.173925197299173,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CC(C)OC(=O)NN1CCOC(CC(=O)NCc2ccc(C(=N)N)cc2)C1=O,CA I,4.09366495819491,-0.5363984674329502,28869.8371,6.591811180114747,0.0957854406130268
O=c1c(NCc2ccccc2F)c(Nc2ccncc2)c1=O,CA IX,5.499999678657065,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CC(C)(C)OC(=O)NC1CCCN(CC(=O)NC2CCCC(C(=N)N)C2O)C1=O,CA I,5.835647144215563,-0.5363984674329502,28869.8371,6.591811180114747,0.0957854406130268
NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1Cl,CA II,7.920818753952375,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
Cc1cc(C(=O)c2ccc3oc(CCN4CCCC4C)cc3c2)ccc1F,CA IV,9.67778070526608,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCCc2ccccc2)c1=O,CA I,9.096910013008056,-0.5363984674329502,28869.8371,6.591811180114747,0.0957854406130268
CC(=O)c1ccc(OCc2ccc(CN3CCCC3)cc2)cc1,CA IV,7.585026652029182,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
N#Cc1ccc(OC2CNC(C(=O)N3CCCN(C4CCC4)CC3)C2)cc1,CA IV,8.300078546176486,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,CA IX,4.522878745280337,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,CA II,7.958607314841775,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
Oc1ccc2c(-c3ccc4c(Br)c(O)ccc4c3)noc2c1,CA III,6.443697499232712,-0.6030769230769231,29557.0647,6.861625862121582,0.1076923076923077
COc1ncnc(NCc2ccc(S(N)(=O)=O)cc2)c1[N+](=O)[O-],CA II,7.301029995663981,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3[nH]cc(Cl)c23)cc1,CA II,7.823908740944319,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
O=c1[nH]c2sc3c(c2c2nc(-c4ccccc4)nn12)CCCC3,CA VA,5.100000128334196,-0.3711475409836066,34749.9918,7.179071617126465,0.1180327868852459
Nc1ncc(-c2ccc(C(=O)N3CCCC3CN3CCCC3)cc2)cc1OCc1c(F)ccc(F)c1Cl,CA IX,6.055517327849831,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CC(C)=CCn1c(CN2CCN(C(=O)C3CC3)CC2)nc2ccccc21,CA XIII,5.667561540084394,-0.4545801526717558,29442.7519,6.451759910583495,0.099236641221374
N#Cc1ccc2[nH]c(-c3cncnc3)c(-c3ccc(F)cc3)c2n1,CA IX,6.481486060122112,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CC(NC(=O)c1ccco1)C(=O)N1CCCN(CCCOc2ccc(-c3noc(C4CCCCC4)n3)c(F)c2)CC1,CA IV,7.721246399047171,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
Cc1ccc(C(=O)Nc2ccc(F)cc2F)c(Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)n1,CA IX,7.744727494896693,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CCn1cc(O)c(=O)cc1C=Cc1ccc(OCCCN2CCCCC2)cc1,CA IV,8.294992040666664,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
Oc1ccc(C2Sc3cc(O)cc(Cl)c3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,CA III,8.275724130399212,-0.6030769230769231,29557.0647,6.861625862121582,0.1076923076923077
NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F,CA II,7.221848749616356,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
O=S(=O)(c1ccccc1)c1c[nH]c2ncccc12,CA IX,5.9299621333922445,-0.3566448801742919,49697.2476,4.63723201751709,0.0566448801742919
CCC(C)NCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1,CA II,7.585026652029182,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
C=CCCC(O)C1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)CC21C,CA III,6.0,-0.6030769230769231,29557.0647,6.861625862121582,0.1076923076923077
Cc1cc(C)[n+](CC(=O)Nc2ccc(S(N)(=O)=O)cc2Cl)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],CA II,7.67778070526608,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
NS(=O)(=O)c1cc2cc(O)ccc2s1,CA II,8.207608310501746,-0.5788461538461539,29245.6681,6.867537117004395,0.1038461538461538
CC1CCCN1CCc1ccc(-c2ccc(C(=O)O)cc2)cc1,CA IV,8.42021640338319,-0.3439102564102564,35031.9265,7.68482494354248,0.0801282051282051
CC(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,CA VA,5.100000128334196,-0.3711475409836066,34749.9918,7.179071617126465,0.1180327868852459
